,registro,clima,temperatura,sens_termica,humedad,viento,ocasionales,registrados,total,fecha_nueva,festividad,festividad_1,año_bueno,estacion_correcta,mes_bueno,dia_semana_nuevo,no_laboral_nuevo
520,521,2,22.2,26.3,61.0,14.0,968,6033,7001,2019-06-05,,0,2019,primavera,6,2,1
521,522,1,22.7,27.1,61.0,5.2,1027,6028,7055,2019-06-06,,0,2019,primavera,6,3,1
522,523,1,24.7,28.5,57.0,10.5,1038,6456,7494,2019-06-07,,0,2019,primavera,6,4,1
523,524,1,26.6,29.9,47.0,11.8,1488,6248,7736,2019-06-08,,0,2019,primavera,6,5,0
524,525,1,29.1,32.4,44.0,9.7,2708,4790,7498,2019-06-09,,0,2019,primavera,6,6,0
525,526,1,29.8,33.2,54.0,9.0,2224,4374,6598,2019-06-10,,0,2019,primavera,6,0,1
526,527,2,29.6,33.0,59.0,13.9,1017,5647,6664,2019-06-11,,0,2019,primavera,6,1,1
527,528,2,26.8,29.9,83.0,14.4,477,4495,4972,2019-06-12,,0,2019,primavera,6,2,1
528,529,1,26.9,30.6,58.0,23.0,1173,6248,7421,2019-06-13,,0,2019,primavera,6,3,1
529,530,1,26.6,31.2,57.0,17.0,1180,6183,7363,2019-06-14,,0,2019,primavera,6,4,1
530,531,1,26.2,30.0,59.0,11.8,1563,6102,7665,2019-06-15,,0,2019,primavera,6,5,0
531,532,1,25.9,29.7,50.0,11.2,2963,4739,7702,2019-06-16,,0,2019,primavera,6,6,0
532,533,1,24.3,28.6,60.0,9.7,2634,4344,6978,2019-06-17,,0,2019,primavera,6,0,1
533,534,2,23.3,27.2,78.0,11.7,653,4446,5099,2019-06-18,,0,2019,primavera,6,1,1
534,535,1,28.2,32.7,69.0,9.9,968,5857,6825,2019-06-19,,0,2019,primavera,6,2,1
535,536,1,32.1,36.0,59.0,7.6,872,5339,6211,2019-06-20,,0,2019,primavera,6,3,1
536,537,1,33.0,37.6,57.0,8.0,778,5127,5905,2019-06-21,,0,2019,verano,6,4,1
537,538,1,31.9,36.2,57.0,12.3,964,4859,5823,2019-06-22,,0,2019,verano,6,5,0
538,539,1,30.0,32.6,53.0,12.0,2657,4801,7458,2019-06-23,,0,2019,verano,6,6,0
539,540,1,30.5,33.7,48.0,9.8,2551,4340,6891,2019-06-24,,0,2019,verano,6,0,1
540,541,1,29.4,32.7,50.0,20.1,1139,5640,6779,2019-06-25,,0,2019,verano,6,1,1
541,542,1,25.9,29.7,37.0,23.3,1077,6365,7442,2019-06-26,,0,2019,verano,6,2,1
542,543,1,28.6,32.0,36.0,18.2,1077,6258,7335,2019-06-27,,0,2019,verano,6,3,1
543,544,1,30.7,33.8,42.0,11.5,921,5958,6879,2019-06-28,,0,2019,verano,6,4,1
544,545,1,34.2,39.3,49.0,11.1,829,4634,5463,2019-06-29,,0,2019,verano,6,5,0
545,546,1,31.4,34.4,60.0,10.8,1455,4232,5687,2019-06-30,,0,2019,verano,6,6,0
546,547,1,33.4,37.5,52.0,11.3,1421,4110,5531,2019-07-01,,0,2019,verano,7,0,1
547,548,1,32.0,35.1,45.0,13.1,904,5323,6227,2019-07-02,,0,2019,verano,7,1,1
548,549,1,32.0,35.1,49.0,8.5,1052,5608,6660,2019-07-03,,0,2019,verano,7,2,1
549,550,1,32.4,36.6,54.0,9.0,2562,4841,7403,2019-07-04,Independence Day,1,2019,verano,7,3,0
550,551,1,33.9,38.1,46.0,13.0,1405,4836,6241,2019-07-05,,0,2019,verano,7,4,1
551,552,1,34.0,37.6,45.0,9.8,1366,4841,6207,2019-07-06,,0,2019,verano,7,5,0
552,553,1,35.3,40.2,49.0,11.0,1448,3392,4840,2019-07-07,,0,2019,verano,7,6,0
553,554,1,33.7,39.5,57.0,8.4,1203,3469,4672,2019-07-08,,0,2019,verano,7,0,1
554,555,2,29.1,32.7,68.0,12.1,998,5571,6569,2019-07-09,,0,2019,verano,7,1,1
555,556,2,29.6,33.2,67.0,10.2,954,5336,6290,2019-07-10,,0,2019,verano,7,2,1
556,557,1,29.4,32.5,63.0,10.2,975,6289,7264,2019-07-11,,0,2019,verano,7,3,1
557,558,1,29.4,32.7,53.0,9.8,1032,6414,7446,2019-07-12,,0,2019,verano,7,4,1
558,559,2,30.0,33.4,49.0,5.4,1511,5988,7499,2019-07-13,,0,2019,verano,7,5,0
559,560,2,28.8,33.3,70.0,9.6,2355,4614,6969,2019-07-14,,0,2019,verano,7,6,0
560,561,1,30.6,35.3,72.0,11.2,1920,4111,6031,2019-07-15,,0,2019,verano,7,0,1
561,562,1,31.3,36.2,64.0,11.0,1088,5742,6830,2019-07-16,,0,2019,verano,7,1,1
562,563,1,33.6,37.8,51.0,7.7,921,5865,6786,2019-07-17,,0,2019,verano,7,2,1
563,564,1,32.5,37.3,58.0,9.2,799,4914,5713,2019-07-18,,0,2019,verano,7,3,1
564,565,1,31.6,35.7,60.0,11.1,888,5703,6591,2019-07-19,,0,2019,verano,7,4,1
565,566,2,27.3,30.7,84.0,14.0,747,5123,5870,2019-07-20,,0,2019,verano,7,5,0
566,567,3,24.4,27.5,87.0,14.3,1264,3195,4459,2019-07-21,,0,2019,verano,7,6,0
567,568,2,27.4,31.2,76.0,6.3,2544,4866,7410,2019-07-22,,0,2019,verano,7,0,1
568,569,1,30.4,34.5,69.0,9.3,1135,5831,6966,2019-07-23,,0,2019,verano,7,1,1
569,570,1,30.8,35.3,66.0,14.2,1140,6452,7592,2019-07-24,,0,2019,verano,7,2,1
570,571,1,29.7,32.7,45.0,11.0,1383,6790,8173,2019-07-25,,0,2019,verano,7,3,1
571,572,1,31.8,37.0,60.0,19.1,1036,5825,6861,2019-07-26,,0,2019,verano,7,4,1
572,573,1,32.0,36.7,59.0,10.3,1259,5645,6904,2019-07-27,,0,2019,verano,7,5,0
573,574,1,31.0,34.9,61.0,10.5,2234,4451,6685,2019-07-28,,0,2019,verano,7,6,0
574,575,1,29.6,33.4,62.0,11.4,2153,4444,6597,2019-07-29,,0,2019,verano,7,0,1
575,576,1,30.0,34.2,67.0,10.3,1040,6065,7105,2019-07-30,,0,2019,verano,7,1,1
576,577,1,29.2,33.1,70.0,11.1,968,6248,7216,2019-07-31,,0,2019,verano,7,2,1
577,578,1,29.4,33.4,68.0,9.5,1074,6506,7580,2019-08-01,,0,2019,verano,8,3,1
578,579,1,30.8,35.4,66.0,8.7,983,6278,7261,2019-08-02,,0,2019,verano,8,4,1
579,580,2,31.4,36.1,64.0,14.5,1328,5847,7175,2019-08-03,,0,2019,verano,8,5,0
580,581,1,32.5,37.6,61.0,17.2,2345,4479,6824,2019-08-04,,0,2019,verano,8,6,0
581,582,1,31.5,36.6,65.0,19.5,1707,3757,5464,2019-08-05,,0,2019,verano,8,0,1
582,583,2,30.8,35.5,65.0,8.7,1233,5780,7013,2019-08-06,,0,2019,verano,8,1,1
583,584,2,30.2,34.9,70.0,7.8,1278,5995,7273,2019-08-07,,0,2019,verano,8,2,1
584,585,2,30.8,35.4,67.0,7.4,1263,6271,7534,2019-08-08,,0,2019,verano,8,3,1
585,586,1,31.0,35.0,62.0,10.5,1196,6090,7286,2019-08-09,,0,2019,verano,8,4,1
586,587,2,29.4,33.4,72.0,16.0,1065,4721,5786,2019-08-10,,0,2019,verano,8,5,0
587,588,2,28.4,31.9,73.0,13.8,2247,4052,6299,2019-08-11,,0,2019,verano,8,6,0
588,589,1,28.7,32.2,53.0,8.2,2182,4362,6544,2019-08-12,,0,2019,verano,8,0,1
589,590,1,29.6,33.1,55.0,9.1,1207,5676,6883,2019-08-13,,0,2019,verano,8,1,1
590,591,1,29.8,33.8,69.0,11.3,1128,5656,6784,2019-08-14,,0,2019,verano,8,2,1
591,592,1,29.0,32.7,62.0,11.4,1198,6149,7347,2019-08-15,,0,2019,verano,8,3,1
592,593,1,29.5,32.7,52.0,9.5,1338,6267,7605,2019-08-16,,0,2019,verano,8,4,1
593,594,1,29.7,12.1,57.0,15.5,1483,5665,7148,2019-08-17,,0,2019,verano,8,5,0
594,595,1,27.8,30.9,60.0,11.9,2827,5038,7865,2019-08-18,,0,2019,verano,8,6,0
595,596,2,26.1,30.2,71.0,5.8,1208,3341,4549,2019-08-19,,0,2019,verano,8,0,1
596,597,2,26.1,29.8,73.0,8.7,1026,5504,6530,2019-08-20,,0,2019,verano,8,1,1
597,598,1,26.6,30.1,67.0,4.9,1081,5925,7006,2019-08-21,,0,2019,verano,8,2,1
598,599,1,27.4,31.1,68.0,4.7,1094,6281,7375,2019-08-22,,0,2019,verano,8,3,1
599,600,1,28.5,31.9,64.0,5.7,1363,6402,7765,2019-08-23,,0,2019,verano,8,4,1
600,601,2,28.8,32.4,62.0,4.8,1325,6257,7582,2019-08-24,,0,2019,verano,8,5,0
601,602,2,27.1,30.9,71.0,16.4,1829,4224,6053,2019-08-25,,0,2019,verano,8,6,0
602,603,2,26.8,29.8,85.0,15.3,1483,3772,5255,2019-08-26,,0,2019,verano,8,0,1
603,604,1,28.8,32.7,73.0,8.6,989,5928,6917,2019-08-27,,0,2019,verano,8,1,1
604,605,1,29.9,33.3,62.0,12.8,935,6105,7040,2019-08-28,,0,2019,verano,8,2,1
605,606,1,28.1,31.8,55.0,7.5,1177,6520,7697,2019-08-29,,0,2019,verano,8,3,1
606,607,1,29.0,32.6,59.0,5.2,1172,6541,7713,2019-08-30,,0,2019,verano,8,4,1
607,608,1,31.3,34.5,59.0,11.3,1433,5917,7350,2019-08-31,,0,2019,verano,8,5,0
608,609,2,30.9,35.1,64.0,7.6,2352,3788,6140,2019-09-01,,0,2019,verano,9,6,0
609,610,2,28.6,32.4,82.0,4.3,2613,3197,5810,2019-09-02,Labor Day,1,2019,verano,9,0,0
610,611,1,29.0,33.1,79.0,10.1,1965,4069,6034,2019-09-03,,0,2019,verano,9,1,1
611,612,1,29.8,34.3,76.0,15.8,867,5997,6864,2019-09-04,,0,2019,verano,9,2,1
612,613,1,30.2,35.4,74.0,12.6,832,6280,7112,2019-09-05,,0,2019,verano,9,3,1
613,614,2,28.6,32.8,81.0,9.5,611,5592,6203,2019-09-06,,0,2019,verano,9,4,1
614,615,1,28.8,32.9,74.0,11.5,1045,6459,7504,2019-09-07,,0,2019,verano,9,5,0
615,616,2,27.0,30.6,80.0,18.8,1557,4419,5976,2019-09-08,,0,2019,verano,9,6,0
616,617,1,25.0,28.9,55.0,15.0,2570,5657,8227,2019-09-09,,0,2019,verano,9,0,1
617,618,1,23.9,28.3,50.0,17.3,1118,6407,7525,2019-09-10,,0,2019,verano,9,1,1
618,619,1,23.7,27.7,52.0,6.2,1070,6697,7767,2019-09-11,,0,2019,verano,9,2,1
619,620,1,24.6,28.5,58.0,8.8,1050,6820,7870,2019-09-12,,0,2019,verano,9,3,1
620,621,1,25.1,29.0,64.0,5.5,1054,6750,7804,2019-09-13,,0,2019,verano,9,4,1
621,622,1,26.0,29.7,67.0,7.0,1379,6630,8009,2019-09-14,,0,2019,verano,9,5,0
622,623,1,24.9,29.3,50.0,16.6,3160,5554,8714,2019-09-15,,0,2019,verano,9,6,0
623,624,1,23.8,28.2,57.0,6.0,2166,5167,7333,2019-09-16,,0,2019,verano,9,0,1
624,625,2,23.8,27.7,73.0,10.2,1022,5847,6869,2019-09-17,,0,2019,verano,9,1,1
625,626,2,25.6,28.3,87.0,24.0,371,3702,4073,2019-09-18,,0,2019,verano,9,2,1
626,627,1,22.6,27.0,54.0,14.4,788,6803,7591,2019-09-19,,0,2019,verano,9,3,1
627,628,1,22.4,26.6,62.0,7.9,939,6781,7720,2019-09-20,,0,2019,verano,9,4,1
628,629,1,24.6,28.6,67.0,10.3,1250,6917,8167,2019-09-21,,0,2019,verano,9,5,0
629,630,1,26.6,30.5,65.0,19.0,2512,5883,8395,2019-09-22,,0,2019,verano,9,6,0
630,631,1,21.7,25.9,47.0,15.0,2454,5453,7907,2019-09-23,,0,2019,otoño,9,0,1
631,632,1,21.1,25.1,49.0,9.5,1001,6435,7436,2019-09-24,,0,2019,otoño,9,1,1
632,633,1,22.6,27.2,57.0,15.8,845,6693,7538,2019-09-25,,0,2019,otoño,9,2,1
633,634,1,26.0,29.8,63.0,16.4,787,6946,7733,2019-09-26,,0,2019,otoño,9,3,1
634,635,2,26.6,30.4,69.0,9.0,751,6642,7393,2019-09-27,,0,2019,otoño,9,4,1
635,636,2,25.4,29.3,69.0,11.0,1045,6370,7415,2019-09-28,,0,2019,otoño,9,5,0
636,637,1,22.2,26.5,54.0,15.2,2589,5966,8555,2019-09-29,,0,2019,otoño,9,6,0
637,638,1,21.6,25.9,58.0,9.0,2015,4874,6889,2019-09-30,,0,2019,otoño,9,0,1
638,639,2,21.4,25.6,65.0,6.1,763,6015,6778,2019-10-01,,0,2019,otoño,10,1,1
639,640,3,24.2,27.1,87.0,7.0,315,4324,4639,2019-10-02,,0,2019,otoño,10,2,1
640,641,2,27.0,30.0,79.0,4.5,728,6844,7572,2019-10-03,,0,2019,otoño,10,3,1
641,642,2,27.0,30.4,72.0,7.9,891,6437,7328,2019-10-04,,0,2019,otoño,10,4,1
642,643,1,25.2,29.0,63.0,7.1,1516,6640,8156,2019-10-05,,0,2019,otoño,10,5,0
643,644,1,22.7,26.9,66.0,18.0,3031,4934,7965,2019-10-06,,0,2019,otoño,10,6,0
644,645,2,17.0,21.0,71.0,9.5,781,2729,3510,2019-10-07,,0,2019,otoño,10,0,1
645,646,2,15.7,19.4,71.0,12.7,874,4604,5478,2019-10-08,,0,2019,otoño,10,1,1
646,647,2,18.3,21.9,76.0,12.8,601,5791,6392,2019-10-09,,0,2019,otoño,10,2,1
647,648,1,21.1,25.2,63.0,12.6,780,6911,7691,2019-10-10,,0,2019,otoño,10,3,1
648,649,1,17.8,21.6,46.0,12.2,834,6736,7570,2019-10-11,,0,2019,otoño,10,4,1
649,650,1,17.9,21.7,54.0,15.8,1060,6222,7282,2019-10-12,,0,2019,otoño,10,5,0
650,651,1,16.1,19.6,49.0,9.8,2252,4857,7109,2019-10-13,,0,2019,otoño,10,6,0
651,652,1,21.4,25.4,64.0,18.7,2080,4559,6639,2019-10-14,Columbus Day,1,2019,otoño,10,0,0
652,653,2,23.0,27.0,71.0,19.8,760,5115,5875,2019-10-15,,0,2019,otoño,10,1,1
653,654,1,19.2,23.0,56.0,12.2,922,6612,7534,2019-10-16,,0,2019,otoño,10,2,1
654,655,1,18.7,22.5,69.0,6.8,979,6482,7461,2019-10-17,,0,2019,otoño,10,3,1
655,656,2,21.4,25.6,73.0,15.9,1008,6501,7509,2019-10-18,,0,2019,otoño,10,4,1
656,657,2,23.1,26.9,82.0,9.0,753,4671,5424,2019-10-19,,0,2019,otoño,10,5,0
657,658,1,19.8,23.6,57.0,7.9,2806,5284,8090,2019-10-20,,0,2019,otoño,10,6,0
658,659,1,19.0,22.8,51.0,11.1,2132,4692,6824,2019-10-21,,0,2019,otoño,10,0,1
659,660,1,20.0,24.1,57.0,5.5,830,6228,7058,2019-10-22,,0,2019,otoño,10,1,1
660,661,1,22.3,26.5,64.0,6.3,841,6625,7466,2019-10-23,,0,2019,otoño,10,2,1
661,662,1,24.1,27.9,64.0,4.9,795,6898,7693,2019-10-24,,0,2019,otoño,10,3,1
662,663,2,22.6,26.5,80.0,8.3,875,6484,7359,2019-10-25,,0,2019,otoño,10,4,1
663,664,2,22.4,26.1,81.0,8.9,1182,6262,7444,2019-10-26,,0,2019,otoño,10,5,0
664,665,2,21.7,25.8,72.0,15.8,2643,5209,7852,2019-10-27,,0,2019,otoño,10,6,0
665,666,2,19.6,23.4,69.0,26.7,998,3461,4459,2019-10-28,,0,2019,otoño,10,0,1
666,667,3,18.0,22.0,88.0,24.0,2,20,22,2019-10-29,,0,2019,otoño,10,1,1
667,668,2,13.0,15.5,83.0,14.3,87,1009,1096,2019-10-30,,0,2019,otoño,10,2,1
668,669,2,14.7,18.1,67.0,11.2,419,5147,5566,2019-10-31,,0,2019,otoño,10,3,1
669,670,2,15.0,18.5,58.0,10.5,466,5520,5986,2019-11-01,,0,2019,otoño,11,4,1
670,671,1,14.6,17.8,52.0,17.8,618,5229,5847,2019-11-02,,0,2019,otoño,11,5,0
671,672,2,14.1,16.2,49.0,18.1,1029,4109,5138,2019-11-03,,0,2019,otoño,11,6,0
672,673,1,13.4,16.5,53.0,12.0,1201,3906,5107,2019-11-04,,0,2019,otoño,11,0,1
673,674,1,13.1,15.4,49.0,15.8,378,4881,5259,2019-11-05,,0,2019,otoño,11,1,1
674,675,1,11.5,14.1,57.0,11.6,466,5220,5686,2019-11-06,,0,2019,otoño,11,2,1
675,676,2,12.1,13.7,55.0,20.4,326,4709,5035,2019-11-07,,0,2019,otoño,11,3,1
676,677,1,14.4,17.1,33.0,23.3,340,4975,5315,2019-11-08,,0,2019,otoño,11,4,1
677,678,1,14.8,17.8,54.0,14.4,709,5283,5992,2019-11-09,,0,2019,otoño,11,5,0
678,679,1,16.0,19.7,65.0,3.9,2090,4446,6536,2019-11-10,,0,2019,otoño,11,6,0
679,680,1,17.2,21.1,66.0,8.5,2290,4562,6852,2019-11-11,Veterans Day,1,2019,otoño,11,0,0
680,681,1,19.9,23.8,74.0,11.6,1097,5172,6269,2019-11-12,,0,2019,otoño,11,1,1
681,682,2,14.1,16.2,66.0,22.9,327,3767,4094,2019-11-13,,0,2019,otoño,11,2,1
682,683,1,11.9,14.1,55.0,13.4,373,5122,5495,2019-11-14,,0,2019,otoño,11,3,1
683,684,2,13.2,16.2,62.0,10.3,320,5125,5445,2019-11-15,,0,2019,otoño,11,4,1
684,685,1,14.1,17.4,52.0,11.5,484,5214,5698,2019-11-16,,0,2019,otoño,11,5,0
685,686,1,13.3,16.3,55.0,12.0,1313,4316,5629,2019-11-17,,0,2019,otoño,11,6,0
686,687,1,14.0,16.9,69.0,15.3,922,3747,4669,2019-11-18,,0,2019,otoño,11,0,1
687,688,2,15.6,18.8,62.0,15.7,449,5050,5499,2019-11-19,,0,2019,otoño,11,1,1
688,689,2,15.3,19.0,68.0,5.5,534,5100,5634,2019-11-20,,0,2019,otoño,11,2,1
689,690,1,14.5,18.2,61.0,6.9,615,4531,5146,2019-11-21,,0,2019,otoño,11,3,1
690,691,1,13.9,17.5,58.0,3.5,955,1470,2425,2019-11-22,,0,2019,otoño,11,4,1
691,692,1,15.1,18.9,57.0,9.9,1603,2307,3910,2019-11-23,,0,2019,otoño,11,5,0
692,693,1,11.4,12.4,40.0,25.3,532,1745,2277,2019-11-24,,0,2019,otoño,11,6,0
693,694,1,10.1,12.9,47.0,10.1,309,2115,2424,2019-11-25,,0,2019,otoño,11,0,1
694,695,1,12.8,17.0,54.0,3.1,337,4750,5087,2019-11-26,,0,2019,otoño,11,1,1
695,696,2,12.0,14.1,79.0,15.9,123,3836,3959,2019-11-27,,0,2019,otoño,11,2,1
696,697,1,12.2,14.5,51.0,14.1,198,5062,5260,2019-11-28,Thanksgiving,1,2019,otoño,11,3,0
697,698,1,11.5,14.9,56.0,7.7,243,5080,5323,2019-11-29,,0,2019,otoño,11,4,1
698,699,1,12.2,16.2,65.0,3.9,362,5306,5668,2019-11-30,,0,2019,otoño,11,5,0
699,700,2,12.2,15.8,81.0,4.0,951,4240,5191,2019-12-01,,0,2019,otoño,12,6,0
700,701,2,14.2,18.0,82.0,8.3,892,3757,4649,2019-12-02,,0,2019,otoño,12,0,1
701,702,1,18.6,22.8,77.0,5.5,555,5679,6234,2019-12-03,,0,2019,otoño,12,1,1
702,703,1,19.5,23.5,73.0,11.7,551,6055,6606,2019-12-04,,0,2019,otoño,12,2,1
703,704,1,18.0,21.4,48.0,21.7,331,5398,5729,2019-12-05,,0,2019,otoño,12,3,1
704,705,1,10.5,12.9,51.0,11.7,340,5035,5375,2019-12-06,,0,2019,otoño,12,4,1
705,706,2,13.2,16.1,76.0,8.8,349,4659,5008,2019-12-07,,0,2019,otoño,12,5,0
706,707,2,15.6,19.5,91.0,6.8,1153,4429,5582,2019-12-08,,0,2019,otoño,12,6,0
707,708,2,15.8,19.5,91.0,10.6,441,2787,3228,2019-12-09,,0,2019,otoño,12,0,1
708,709,2,17.9,21.8,92.0,12.8,329,4841,5170,2019-12-10,,0,2019,otoño,12,1,1
709,710,2,14.5,16.9,60.0,19.8,282,5219,5501,2019-12-11,,0,2019,otoño,12,2,1
710,711,2,12.2,14.9,54.0,10.9,310,5009,5319,2019-12-12,,0,2019,otoño,12,3,1
711,712,1,12.1,14.7,49.0,11.7,425,5107,5532,2019-12-13,,0,2019,otoño,12,4,1
712,713,1,11.6,14.7,64.0,8.8,429,5182,5611,2019-12-14,,0,2019,otoño,12,5,0
713,714,1,13.3,16.9,65.0,7.1,767,4280,5047,2019-12-15,,0,2019,otoño,12,6,0
714,715,2,14.9,18.5,84.0,6.7,538,3248,3786,2019-12-16,,0,2019,otoño,12,0,1
715,716,2,16.1,20.1,91.0,6.6,212,4373,4585,2019-12-17,,0,2019,otoño,12,1,1
716,717,1,16.8,20.5,67.0,14.8,433,5124,5557,2019-12-18,,0,2019,otoño,12,2,1
717,718,1,13.6,17.1,63.0,12.3,333,4934,5267,2019-12-19,,0,2019,otoño,12,3,1
718,719,2,13.5,16.8,67.0,8.9,314,3814,4128,2019-12-20,,0,2019,otoño,12,4,1
719,720,2,13.4,15.1,56.0,25.1,221,3402,3623,2019-12-21,,0,2019,invierno,12,5,0
720,721,1,10.9,11.8,44.0,27.3,205,1544,1749,2019-12-22,,0,2019,invierno,12,6,0
721,722,1,10.1,13.0,52.0,8.9,408,1379,1787,2019-12-23,,0,2019,invierno,12,0,1
722,723,2,9.5,12.9,79.0,5.2,174,746,920,2019-12-24,,0,2019,invierno,12,1,1
723,724,2,11.9,14.7,73.0,11.3,440,573,1013,2019-12-25,Christmas Day,1,2019,invierno,12,2,0
724,725,3,10.0,11.0,82.0,21.2,9,432,441,2019-12-26,,0,2019,invierno,12,3,1
725,726,2,10.4,11.3,65.0,23.5,247,1867,2114,2019-12-27,,0,2019,invierno,12,4,1
726,727,2,10.4,12.8,59.0,10.4,644,2451,3095,2019-12-28,,0,2019,invierno,12,5,0
727,728,2,10.4,12.1,75.0,8.3,159,1182,1341,2019-12-29,,0,2019,invierno,12,6,0
728,729,1,10.5,11.6,48.0,23.5,364,1432,1796,2019-12-30,,0,2019,invierno,12,0,1
729,730,2,8.8,11.2,58.0,10.4,439,2290,2729,2019-12-31,,0,2019,invierno,12,1,1
